source,target,label
27051151,19541494,cloud
268020,775,algorithms
21808348,5213,computing
5739,6021,C
404048,1208,Alan Turing
5309,5783,computer programs
35458904,775,algorithms
5783,7878457,computer
775,59868,interpreters
7878457,4122592,computer network
5311,23716,Programmers
76121942,73291755,generative AI
1699254,4122592,computer network
8377,454746,applications
6596,775,algorithms
23716,5323,computer science
5323,775,algorithms
775,18831,mathematics
73291755,48795986,OpenAI
33173,1164,artificial intelligence
59868,15881,Java
5783,10939,formal languages
7878457,5272,printers
5323,35458904,data science
775,55981499,AlphaZero
233488,32472154,deep learning
54695,2091393,fault tolerance
35458904,26685,statistics
25652303,5323,computer science
5323,27010,software
48795986,586357,artificial general intelligence
20640,23015,programming languages
5218,5309,software
76121942,1360091,backpropagation
27471338,6806,memory
73291755,19541494,cloud
22591,19541494,cloud infrastructure
302949,1164,artificial intelligence
18985040,41961,processed
20640,5739,compilers
66294,21523,function approximation
32472154,263636,connected
6097297,20640,macOS
29004,25873,RDBMS
72038,454746,desktop applications
72038,5739,compilers
27471338,23862,Python
35458904,27051151,large
233488,66294,reinforcement learning
775,72038,C++
1164,18831,mathematics
418206,5309,software
4122592,5323,computer science
7878457,5926,computation
10973690,29004,SQL
1164,73248112,large language model
302949,76121942,neural network
5926,1208,Alan Turing
21808348,5739,compilers
177789,26980,Sun Microsystems
2884728,1164,artificial intelligence
59868,72038,C++
19541494,40379651,IBM
5739,5213,computing
23716,7878457,computer
1164,32472154,deep learning
454746,5311,programming
5309,418206,execution
41416740,233488,machine learning
7878457,418206,carry out
15881,18890,Windows
4689778,454746,application software
46630,60644,peripherals
1164,48795986,OpenAI
233488,404048,Computing Machinery and Intelligence
8377,41961,data processing
349771,76121942,neural network
76121942,302949,Walter Pitts
6021,23015,programming languages
23862,189842,high-level
27010,5323,computer science
25873,494528,query language
189842,15881,Java
4689778,29004,SQL
32472154,21120,neurons
32472154,64971,Go
23015,23716,programmer
41755648,49242352,AlphaGo
5311,5218,central processing unit
5311,23015,programming languages
59868,23862,Python
41755648,48795986,OpenAI
73248112,6596,image classification
27010,5213,computing
73291755,32472154,deep
23968131,22194,operating systems
27010,454746,software applications
4122592,5272,printers
27471338,21808348,hardware
8377,2091393,fault tolerance
22591,29004,SQL
4594672,775,algorithm
28174,5213,computing
3206060,23015,programming language
36674345,60644,peripheral
189021,5783,program
2091393,33173,Web browsers
22194,37153,supercomputers
3206060,72038,C++
50408,5213,computing
15881,6021,C
14539,33173,web browser
4122592,50408,computer engineering
3118,18831,mathematics
15881,3206060,syntax
24185,775,algorithm
36674345,5323,computer science
8377,33173,web browser
18985040,5323,computer science
5309,14539,Internet
22194,189021,system software
233488,21523,neural networks
5213,5783,computer program
18890,46630,embedded systems
72038,775,algorithms
21808348,7878457,computer
5311,5783,programs
5323,8377,database
33173,33139,the Web
48795986,73248112,large language models
22194,46630,embedded
59868,5739,compilation
25873,23968131,NoSQL
5323,46630,embedded systems
5323,233488,machine learning
72038,18890,Windows
263636,586357,artificial general intelligence
22194,19541494,cloud computing
775,24185,pseudocode
6097297,5309,software
73248112,40379651,IBM
14539,36674345,information services
4122592,46630,embedded networks
33139,454746,application software
5309,59868,interpreter
22194,5309,software
233488,349771,artificial neurons
33139,15881,Java
8377,36674345,information technology
41755648,66294,reinforcement learning
21808348,1208,Alan Turing
18890,22194,operating system
18890,12610483,Android
55981499,64971,go
54695,21808348,computer hardware
48795986,66294,reinforcement learning
18985040,5783,computer program
50408,5323,computer science
23716,23015,languages
36674345,5311,programmable
10939,18831,mathematics
25873,29004,SQL
48795986,73291755,generative AI
27471338,15881,Java
49242352,390214,GPUs
775,66294,reinforcement learning
66294,233488,machine learning
6806,40379651,IBM
1164,233488,learning
4689778,8377,Database
268020,1208,Alan Turing
1010280,5213,computing
5323,25652303,hardware
40379651,5309,software
775,5323,computer science
177789,22591,Oracle
21652,29468,speech recognition
775,10939,formal language
1164,49242352,AlphaGo
8377,82871,data models
5213,775,algorithmic
233488,49242352,AlphaGo
15881,418206,runtime
27051151,37153,HPC-based
26685,7878457,computers
3118,7878457,computers
36674345,1164,artificial intelligence
9251,18831,mathematics
18831,3118,arithmetic
586357,48795986,OpenAI
5309,7878457,computer
2091393,40379651,IBM
8377,5218,processors
233488,21120,neuron
46630,6806,computer memory
5309,189842,high-level programming languages
35458904,233488,machine learning
76121942,21120,neurons
8377,10973690,database models
5783,3206060,syntax
27051151,40379651,IBM
32472154,6596,computer vision
1010280,4122592,networked
5323,6596,computer vision
7878457,18985040,information
73248112,21523,neural network
21523,1360091,backpropagation
5218,390214,graphics processing units
5323,5213,computing
7878457,21808348,hardware
15881,37153,supercomputers
